id,name,category,tier,setup_cash_gbp,owner_hours,monthly_run_gbp,fee_pct,rev_mid,p_success,weeks_to_first_rev,platform_risk,blocked_on,rejected_reason,monthly_profit,effective_setup,score
W001,MTD for Income Tax eligibility checker,free tool,A,0,0.5,0,0.0,40,0.35,4,L,,,40.0,10,1.4
W002,Late-payment interest + compensation calculator (UK B2B),free tool,A,0,0.5,0,0.0,40,0.35,4,L,,,40.0,10,1.4
W003,HMRC mileage allowance calculator (45p/25p),free tool,A,0,0.5,0,0.0,40,0.35,4,L,,,40.0,10,1.4
W004,VAT Flat Rate Scheme vs standard calculator,free tool,A,0,0.5,0,0.0,40,0.35,4,L,,,40.0,10,1.4
W005,VAT registration threshold (rolling 12-month) checker,free tool,A,0,0.5,0,0.0,40,0.35,4,L,,,40.0,10,1.4
W006,Use-of-home flat rate calculator,free tool,B,0,0.5,0,0.0,20,0.25,4,L,,,20.0,10,0.5
W007,Self Assessment payments on account calculator,free tool,A,0,0.5,0,0.0,40,0.35,4,L,,,40.0,10,1.4
W008,Dividend vs salary calculator for company directors 2026-27,free tool,B,0,0.5,0,0.0,20,0.25,4,L,,,20.0,10,0.5
W009,"Trading allowance (£1,000) vs actual expenses checker",free tool,B,0,0.5,0,0.0,20,0.25,4,L,,,20.0,10,0.5
W010,Property allowance vs actual expenses checker,free tool,B,0,0.5,0,0.0,20,0.25,4,L,,,20.0,10,0.5
W011,Rent increase (Section 13) date planner,free tool,B,0,0.5,0,0.0,20,0.25,4,L,,,20.0,10,0.5
W012,Deposit protection 30-day deadline calculator,free tool,B,0,0.5,0,0.0,20,0.25,4,L,,,20.0,10,0.5
W013,Gas safety / EICR renewal date calculator,free tool,B,0,0.5,0,0.0,20,0.25,4,L,,,20.0,10,0.5
W014,Invoice due-date and payment-terms calculator,free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W015,UK working-days calculator (bank holidays),free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W016,Pro-rata salary calculator,free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W017,Holiday entitlement calculator (5.6 weeks),free tool,B,0,0.5,0,0.0,20,0.25,4,L,,,20.0,10,0.5
W018,Statutory redundancy pay calculator,free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W019,Capital allowances (AIA) quick estimator,free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W020,Hourly rate calculator for freelancers,free tool,B,0,0.5,0,0.0,20,0.25,4,L,,,20.0,10,0.5
W021,Markup vs margin calculator,free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W022,Break-even calculator for small shops,free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W023,Cash-runway calculator,free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W024,Student loan repayment on self-employment estimator,free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W025,Class 2/Class 4 NI explainer calculator,free tool,B,0,0.5,0,0.0,20,0.25,4,L,,,20.0,10,0.5
W026,High income child benefit charge calculator,free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W027,Personal allowance taper (£100k) calculator,free tool,B,0,0.5,0,0.0,20,0.25,4,L,,,20.0,10,0.5
W028,EPC minimum rating checker for landlords,free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W029,HMO licence need checker (England),free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W030,WCAG colour-contrast checker,free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W031,Cookie banner self-check questionnaire,free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W032,Invoice legal-fields checker (UK),free tool,B,0,0.5,0,0.0,20,0.25,4,L,,,20.0,10,0.5
W033,Price-per-unit display checker for online shops,free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W034,Tax-year date converter (6 April),free tool,C,0,0.5,0,0.0,8,0.12,4,L,,,8.0,10,0.096
W035,MTD quarterly deadline calendar export (.ics),free tool,A,0,0.5,0,0.0,40,0.35,4,L,,,40.0,10,1.4
W036,MTD for landlords property income workbook,spreadsheet,A,0,1,0,0.02,160,0.3,2,L,,,156.8,15.0,3.136
W037,MTD workbook for sole trader + landlord combined,spreadsheet,A,0,1,0,0.02,160,0.3,2,L,,,156.8,15.0,3.136
W038,Joint-owned property income split workbook,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W039,Furnished holiday let transition tracker (post-2025 abolition),spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W040,Section 24 finance-cost restriction estimator,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W041,Rent arrears tracker with Section 8 ground dates,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W042,HMO room-by-room compliance tracker,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W043,Scotland landlord compliance tracker,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W044,Wales landlord compliance tracker (Renting Homes Act),spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W045,Airbnb/short-let income and expense tracker,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W046,CIS subcontractor deductions tracker,spreadsheet,A,0,1,0,0.02,160,0.3,2,L,,,156.8,15.0,3.136
W047,CIS monthly return prep workbook for contractors,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W048,Payroll-lite workbook for one employee (RTI prep),spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W049,Pension auto-enrolment duties tracker,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W050,Company director loan account tracker,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W051,Limited company dividend voucher + minutes templates,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W052,Confirmation statement and accounts deadline tracker,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W053,Corporation Tax marginal relief estimator,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W054,VAT return prep workbook (standard scheme),spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W055,Cash-accounting VAT scheme workbook,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W056,Domestic reverse charge (construction VAT) invoice kit,spreadsheet,A,0,1,0,0.02,160,0.3,2,L,,,156.8,15.0,3.136
W057,Etsy seller income + fees reconciler,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W058,eBay/Vinted seller HMRC reporting-rules tracker,spreadsheet,A,0,1,0,0.02,160,0.3,2,L,,,156.8,15.0,3.136
W059,Amazon FBA fee and profit calculator workbook,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W060,Shopify monthly P&L template,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W061,Freelancer client-profitability tracker,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W062,Time-tracking + invoicing workbook,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W063,Job costing sheet for tradespeople,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W064,Materials price-book for builders,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W065,Van running-costs vs mileage comparison,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W066,Hairdresser/beauty chair-rental income tracker,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W067,Childminder income and expenses workbook,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W068,Driving instructor business workbook,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W069,Personal trainer client + income tracker,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W070,Musician/performer gig income tracker,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W071,Photographer job and kit depreciation workbook,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W072,Cleaner rounds and invoicing workbook,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W073,Dog walker/pet sitter booking + income sheet,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W074,Tutor lessons and income tracker,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W075,Charity/club treasurer accounts workbook,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W076,Community interest company (CIC) report prep,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W077,Grant budget tracker for small charities,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W078,Tenancy deposit dispute evidence log,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W079,Property maintenance schedule (landlords),spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W080,Service-charge budget for small leaseholds,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W081,Home-business insurance renewal tracker,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W082,Subscription/software cost audit sheet,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W083,Business budget vs actual (12 months),spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W084,Debtors ageing report template,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W085,Stock/inventory tracker for makers,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W086,Price increase planner (inflation pass-through),spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W087,Sole trader to limited company comparison model,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W088,"Side-hustle HMRC £1,000 allowance tracker",spreadsheet,A,0,1,0,0.02,160,0.3,2,L,,,156.8,15.0,3.136
W089,Crypto trading-income vs gains record sheet,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W090,"Rent-a-room scheme (£7,500) tracker",spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W091,Making Tax Digital digital-links checker sheet,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W092,Year-end accountant handover pack,spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W093,Receipt log with HMRC categories (mobile-friendly),spreadsheet,B,0,1,0,0.02,80,0.2,2,L,,,78.4,15.0,1.0453333333333334
W094,Company car vs mileage allowance comparison,spreadsheet,C,0,1,0,0.02,25,0.08,2,L,,,24.5,15.0,0.13066666666666665
W095,Renters' Rights Act landlord guide (plain English),printable/guide,A,0,1,0,0.02,60,0.25,2,L,,,58.8,15.0,0.98
W096,Section 8 possession grounds quick reference,printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W097,New landlord first-let checklist (England),printable/guide,A,0,1,0,0.02,60,0.25,2,L,,,58.8,15.0,0.98
W098,Tenant move-in/move-out inventory template,printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W099,MTD quick-start one-pager (laminate-ready),printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W100,Self-employed tax year checklist 2026-27,printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W101,Starting a sole trader business checklist,printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
