id,name,category,setup_cash_gbp,owner_hours,monthly_run_gbp,fee_pct,rev_low,rev_mid,rev_high,p_success,weeks_to_first_rev,platform_risk,competition,notes
1,MTD-for-Income-Tax sole-trader record-keeping workbook (Sheets/Excel),digital product,0,3,2,0.10,20,180,700,0.35,2,L,M,"MTD ITSA mandatory from Apr 2026 for >£50k, Apr 2027 for >£30k; real demand spike. Records tool, not tax advice. Gumroad/Etsy/own Stripe."
2,UK landlord compliance tracker (gas/EICR/EPC/deposit/Renters' Rights Act dates),digital product,0,3,2,0.10,15,140,500,0.30,2,L,M,"Renters' Rights Act 2025 changes create a reason to buy now. Must cite gov.uk sources and state 'not legal advice'."
3,Generic Etsy printable planners,digital product,0,4,2,0.12,0,20,150,0.08,4,M,H,"Extremely saturated; Etsy requires AI-use disclosure; low price points."
4,UK small-business cash-flow + VAT forecast spreadsheet,digital product,0,4,2,0.10,10,90,400,0.25,3,L,H,"Many free alternatives; differentiate on UK VAT schemes (flat rate, cash accounting)."
5,Prompt packs for professionals,digital product,0,2,2,0.10,0,15,100,0.05,3,M,H,"Commoditised; low perceived value; refund risk."
6,Short video course: MTD ITSA setup for sole traders,course,20,20,15,0.10,0,120,800,0.15,8,L,M,"Needs credible presenter (owner time); must avoid individual tax advice."
7,Canva template kit for UK tradespeople (quote/invoice/flyer),digital product,0,4,2,0.12,5,60,250,0.20,3,M,H,"Canva's own free templates compete; licence terms must allow resale of original designs."
8,Receipt-photo -> categorised CSV micro-SaaS for sole traders,micro-SaaS,15,10,25,0.05,0,150,900,0.15,6,L,H,"Dext/QuickBooks capture compete; AI token cost per receipt ~£0.002-0.01. Needs data-protection (UK GDPR) terms."
9,Review-reply drafting assistant for local businesses (owner approves & posts),micro-SaaS,15,10,20,0.05,0,120,700,0.15,6,M,M,"Drafts replies to genuine reviews only; never generates reviews. Google API access needs verified business owners."
10,Listing/product description generator,micro-SaaS,10,6,20,0.05,0,40,300,0.05,4,L,H,"Built into Shopify/Etsy/ChatGPT already."
11,Uptime + SSL-expiry monitor,micro-SaaS,10,6,10,0.05,0,40,300,0.05,6,L,H,"Dozens of free tiers (UptimeRobot etc.)."
12,Website accessibility (WCAG 2.2) audit report - automated scan + AI plain-English fix list,service/micro-SaaS,10,6,10,0.05,30,250,1200,0.25,3,L,M,"European Accessibility Act in force since Jun 2025 for EU-selling businesses; axe-core is MPL-2.0 open source. Must state automated scans catch ~30-40% of issues."
13,Privacy policy / cookie compliance checker,micro-SaaS,10,8,10,0.05,0,60,400,0.08,6,L,H,"Liability risk if it misses something; heavy competition (Cookiebot, Termly)."
14,Changelog / release-notes generator from Git commits,micro-SaaS,10,8,15,0.05,0,50,400,0.10,6,L,M,"Developer audience is price-sensitive and builds own tools."
15,Invoice/receipt PDF extraction API (pay per call),API,10,8,20,0.05,0,60,500,0.08,8,L,H,"Competes with cloud vendors' document AI."
16,Companies House enrichment API (OGL open data -> clean JSON/webhooks),API,10,8,15,0.05,0,80,500,0.12,6,L,M,"Open Government Licence permits commercial reuse with attribution; rate limits apply. Personal data of directors -> UK GDPR care."
17,Property-listing data API,API,10,8,20,0.05,0,100,600,0.02,8,H,M,"Relies on scraping portals -> ToS breach. REJECTED by hard rule 1."
18,Affiliate comparison site (UK business bank accounts),content,15,6,5,0.00,0,40,600,0.07,20,H,H,"SEO takes 6+ months; Google penalises scaled low-value AI content."
19,Newsletter: UK small-business tax & compliance deadlines (sponsor/paid tier),content,0,8,5,0.10,0,40,400,0.10,16,L,M,"Slow audience build; good long-term channel for ideas 1/2/12."
20,Faceless AI YouTube channel,content,0,10,15,0.00,0,20,500,0.03,26,H,H,"YouTube demonetises mass-produced/repetitive AI content; high platform risk."
21,UK tax calculators site (take-home / dividend vs salary) with ads,content,10,6,5,0.00,0,20,300,0.05,20,M,H,"Many established free calculators; ad RPMs low."
22,Bookkeeping catch-up service for sole traders,service,0,30,10,0.03,0,300,1200,0.10,4,L,M,"Bookkeeping in UK requires AML supervision (HMRC or a professional body) -> regulatory barrier; needs owner's time."
23,Accessibility remediation (fix) service for small sites,service,0,25,10,0.03,0,300,1500,0.12,6,L,M,"Natural upsell of idea 12; needs owner or contractor dev time."
24,Podcast transcript + show-notes service (human-reviewed),service,0,10,15,0.05,0,80,400,0.10,4,M,H,"Podcast hosts now bundle auto-transcription."
25,Shopify product-copy rewrite (done-for-you batches),service,0,12,10,0.05,0,100,500,0.10,4,L,H,"Crowded on Fiverr/Upwork."
26,EU localisation for UK Etsy/Shopify sellers (AI + human review),service,30,12,15,0.05,0,120,600,0.08,6,L,M,"Quality claim requires paying native reviewers -> margin squeeze."
27,Fixed-price n8n/Zapier automation packages for small firms,service,0,20,10,0.03,0,250,1500,0.15,4,L,M,"Good margin but sales-heavy; owner does discovery calls."
28,Looker Studio ecommerce dashboard setup,service,0,15,5,0.03,0,150,800,0.10,4,L,M,"Needs client data access & trust; Shopify analytics improving."
29,New-incorporation lead lists from Companies House,data,10,6,10,0.05,0,80,500,0.06,6,M,M,"Director data is personal data; PECR restricts marketing to sole traders -> legal risk; would need DPIA."
30,Knowledge-base assistant setup for small firms (Claude Projects / custom bot),service,0,15,20,0.03,0,200,1200,0.12,4,L,M,"Setup fee + monthly retainer; owner needs to sell."
